Month,Year,Site,Order,Family,Units,Avg,Stdev,randomprob,Length (mm),MassOligos,a,b,Mass,Production,Notes,,,
July,2013,Dock,Diptera,Chironomidae,4.43,4.25,2.04,0.442428695,4.43,,0.0018,2.617,0.088418774,,,,,
July,2010,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.418137416,4.43,,0.0018,2.617,0.088418774,,,,,
July,2010,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.570066693,4.43,,0.0018,2.617,0.088418774,,,,,
July,2010,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.381661285,4.43,,0.0018,2.617,0.088418774,,,,,
July,2011,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.308041753,4.43,,0.0018,2.617,0.088418774,,,,,
July,2011,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.568670496,4.43,,0.0018,2.617,0.088418774,,,,,
July,2011,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.294642485,4.43,,0.0018,2.617,0.088418774,,,,,
July,2012,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.388550074,4.43,,0.0018,2.617,0.088418774,,,,,
July,2012,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.467236905,4.43,,0.0018,2.617,0.088418774,,,,,
July,2012,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.413256746,4.43,,0.0018,2.617,0.088418774,,,,,
July,2012,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.580195299,4.43,,0.0018,2.617,0.088418774,,,,,
July,2013,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.471828183,4.43,,0.0018,2.617,0.088418774,,,,,
July,2014,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.442362972,4.43,,0.0018,2.617,0.088418774,,,,,
July,2014,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.640512072,4.43,,0.0018,2.617,0.088418774,,,,,
July,2012,Spring,Diptera,Chironomidae,4.43,4.89,2.02,0.418688075,4.43,,0.0018,2.617,0.088418774,,,,,
July,2012,T1,Diptera,Chironomidae,4.43,4.98,2.27,0.518299235,4.43,,0.0018,2.617,0.088418774,,,,,
July,2015,T1,Diptera,Chironomidae,4.43,4.98,2.27,0.329379927,4.43,,0.0018,2.617,0.088418774,,,,,
July,2013,T5,Diptera,Chironomidae,4.43,14.36,4.74,0.446887145,4.43,,0.0018,2.617,0.088418774,,,,,
June,2015,Dock,Diptera,Chironomidae,4.43,4.25,2.04,0.646802192,4.43,,0.0018,2.617,0.088418774,,,,,
June,2010,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.364250822,4.43,,0.0018,2.617,0.088418774,,,,,
June,2010,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.439487144,4.43,,0.0018,2.617,0.088418774,,,,,
June,2010,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.266893305,4.43,,0.0018,2.617,0.088418774,,,,,
June,2010,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.310067547,4.43,,0.0018,2.617,0.088418774,,,,,
June,2014,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.531203547,4.43,,0.0018,2.617,0.088418774,,,,,
June,2014,Alder,Diptera,Chironomidae,4.43,4.65,2.28,0.746828151,4.43,,0.0018,2.617,0.088418774,,,,,
June,2016,Spring,Diptera,Chironomidae,4.43,4.89,2.02,0.36233149,4.43,,0.0018,2.617,0.088418774,,,,,
June,2012,T1,Diptera,Chironomidae,4.43,4.98,2.27,0.506098165,4.43,,0.0018,2.617,0.088418774,,,,,
June,2012,T1,Diptera,Chironomidae,4.43,4.98,2.27,0.356310472,4.43,,0.0018,2.617,0.088418774,,,,,
June,2012,T1,Diptera,Chironomidae,4.43,4.98,2.27,0.691286852,4.43,,0.0018,2.617,0.088418774,,,,,
June,2013,T3,Diptera,Chironomidae,4.43,5.94,2.82,0.659798926,4.43,,0.0018,2.617,0.088418774,,,,,
June,2013,T3,Diptera,Chironomidae,4.43,5.94,2.82,0.736124644,4.43,,0.0018,2.617,0.088418774,,,,,
June,2014,Spring ,Diptera,Chironomidae,4.43,#N/A,#N/A,0.323887509,4.43,,0.0018,2.617,0.088418774,,,,,
June,2014,Spring ,Diptera,Chironomidae,4.43,#N/A,#N/A,0.688967036,4.43,,0.0018,2.617,0.088418774,,,,,
Aug/Sept,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.461171811,4.43,,0.0018,2.617,0.088406421,,,,,
July,2014,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.257498645,1.98,,0.0163,2.477,0.088381788,,,,,
Aug/Sept,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.460954014,4.43,,0.0018,2.617,0.088341199,,,,,
June,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.46087558,4.43,,0.0018,2.617,0.088317717,,,,,
July,2014,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.4607863,4.43,,0.0018,2.617,0.088290993,,,,,
Aug/Sept,2021,Alder,Diptera,Chironomidae,NA,5.05,2.49,0.400184209,4.43,,0.0018,2.617,0.088256545,,,,,
Aug/Sept,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.460646698,4.43,,0.0018,2.617,0.088249214,,,,,
June,2018,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.460631875,4.43,,0.0018,2.617,0.088244779,,,,,
Aug/Sept,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.460586857,4.42,,0.0018,2.617,0.088231309,,,,,
June,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.460231068,4.42,,0.0018,2.617,0.088124893,,,,,
Aug/Sept,2008,T1,Diptera,Chironomidae,NA,4.98,2.27,0.402945723,4.42,,0.0018,2.617,0.088108664,,,,,
Aug/Sept,2019,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.459977433,4.42,,0.0018,2.617,0.088049073,,,,,
Aug/Sept,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.459879099,4.42,,0.0018,2.617,0.088019688,,,,,
Aug/Sept,2021,T1,Diptera,Chironomidae,NA,4.98,2.27,0.402628929,4.42,,0.0018,2.617,0.088011951,,,,,
June,2010,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.459704001,4.42,,0.0018,2.617,0.087967376,,,,,
Aug/Sept,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.459526413,4.42,,0.0018,2.617,0.087914337,,,,,
Aug/Sept,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.459517459,4.42,,0.0018,2.617,0.087911663,,,,,
June,2021,Alder,Diptera,Chironomidae,NA,5.05,2.49,0.399147287,4.42,,0.0018,2.617,0.087908487,,,,,
June,2020,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.459253096,4.42,,0.0018,2.617,0.087832741,,,,,
June,2018,Dock,Diptera,Chironomidae,NA,4.25,2.04,0.532679238,4.42,,0.0018,2.617,0.08781095,,,,,
June,2022,T1,Diptera,Chironomidae,NA,4.98,2.27,0.401969046,4.42,,0.0018,2.617,0.087810647,,,,,
Aug/Sept,2018,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.459058239,4.42,,0.0018,2.617,0.087774594,,,,,
June,2009,Dock,Diptera,Chironomidae,NA,4.25,2.04,0.532530961,4.42,,0.0018,2.617,0.087771404,,,,,
June,2022,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.459038701,4.42,,0.0018,2.617,0.087768765,,,,,
June,2009,T1,Diptera,Chironomidae,NA,4.98,2.27,0.401792606,4.42,,0.0018,2.617,0.087756857,,,,,
June,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.458907101,4.42,,0.0018,2.617,0.087729507,,,,,
Aug/Sept,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.458891524,4.42,,0.0018,2.617,0.087724861,,,,,
June,2009,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.458850941,4.42,,0.0018,2.617,0.087712757,,,,,
Aug/Sept,2016,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.458697609,4.41,,0.0018,2.617,0.087667034,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.294557627,4.41,,0.0018,2.617,0.087605234,,,,,
June,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.45846857,4.41,,0.0018,2.617,0.087598758,,,,,
Aug/Sept,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.458230246,4.41,,0.0018,2.617,0.087527746,,,,,
July,2017,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.458125049,4.41,,0.0018,2.617,0.08749641,,,,,
Aug/Sept,2014,T1,Diptera,Chironomidae,NA,4.98,2.27,0.400934513,4.41,,0.0018,2.617,0.087495455,,,,,
Aug/Sept,2018,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.458084797,4.41,,0.0018,2.617,0.087484422,,,,,
Aug/Sept,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.4580476,4.41,,0.0018,2.617,0.087473344,,,,,
Aug/Sept,2008,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.458026406,4.41,,0.0018,2.617,0.087467033,,,,,
Aug/Sept,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.457902062,4.41,,0.0018,2.617,0.087430009,,,,,
June,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.457900165,4.41,,0.0018,2.617,0.087429444,,,,,
June,2009,T3,Diptera,Chironomidae,NA,5.94,2.82,0.294084581,4.41,,0.0018,2.617,0.08740403,,,,,
Aug/Sept,2022,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.457747228,4.41,,0.0018,2.617,0.087383918,,,,,
June,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.457690553,4.41,,0.0018,2.617,0.08736705,,,,,
Aug/Sept,2022,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.45767232,4.41,,0.0018,2.617,0.087361624,,,,,
July,2014,T1,Diptera,Chironomidae,NA,4.98,2.27,0.400305616,4.41,,0.0018,2.617,0.087304087,,,,,
July,2014,Dock,Diptera,Chironomidae,NA,4.25,2.04,0.530678032,4.41,,0.0018,2.617,0.087278255,,,,,
June,2020,Dock,Diptera,Chironomidae,NA,4.25,2.04,0.530678021,4.41,,0.0018,2.617,0.087278252,,,,,
Aug/Sept,2008,T1,Diptera,Chironomidae,NA,4.98,2.27,0.400191348,4.41,,0.0018,2.617,0.087269335,,,,,
Aug/Sept,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.457303866,4.41,,0.0018,2.617,0.08725201,,,,,
July,2012,Dock,Diptera,Chironomidae,NA,4.25,2.04,0.530425903,4.41,,0.0018,2.617,0.087211298,,,,,
Aug/Sept,2018,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.457108867,4.41,,0.0018,2.617,0.087194029,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.293589239,4.41,,0.0018,2.617,0.087193489,,,,,
June,2020,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.457086426,4.4,,0.0018,2.617,0.087187358,,,,,
Aug/Sept,2008,T1,Diptera,Chironomidae,NA,4.98,2.27,0.399879613,4.4,,0.0018,2.617,0.08717456,,,,,
June,2022,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.456929912,4.4,,0.0018,2.617,0.087140836,,,,,
Aug/Sept,2014,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.456924572,4.4,,0.0018,2.617,0.08713925,,,,,
Aug/Sept,2014,T1,Diptera,Chironomidae,NA,4.98,2.27,0.39976246,4.4,,0.0018,2.617,0.087138954,,,,,
June,2008,T3,Diptera,Chironomidae,NA,5.94,2.82,0.293424926,4.4,,0.0018,2.617,0.087123682,,,,,
July,2017,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.254095927,1.97,,0.0163,2.477,0.087121409,,,,,
July,2014,T1,Diptera,Chironomidae,NA,4.98,2.27,0.399516536,4.4,,0.0018,2.617,0.087064231,,,,,
June,2020,Dock,Diptera,Chironomidae,NA,4.25,2.04,0.529824098,4.4,,0.0018,2.617,0.087051622,,,,,
June,2022,Spring,Diptera,Chironomidae,NA,4.89,2.02,0.405062972,4.4,,0.0018,2.617,0.087044014,,,,,
June,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.456421268,4.4,,0.0018,2.617,0.086989743,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.293101393,4.4,,0.0018,2.617,0.08698628,,,,,
June,2014,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.456396772,4.4,,0.0018,2.617,0.08698247,,,,,
Aug/Sept,2023,T1,Diptera,Chironomidae,NA,4.98,2.27,0.399219818,4.4,,0.0018,2.617,0.086974112,,,,,
Aug/Sept,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.456368493,4.4,,0.0018,2.617,0.086974074,,,,,
Aug/Sept,2023,Spring,Diptera,Chironomidae,NA,5.05,2.49,0.396352262,4.4,,0.0018,2.617,0.086973335,,,,,
June,2022,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.456286401,4.4,,0.0018,2.617,0.086949704,,,,,
Aug/Sept,2008,T1,Diptera,Chironomidae,NA,4.98,2.27,0.399055427,4.4,,0.0018,2.617,0.0869242,,,,,
Aug/Sept,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.456115545,4.4,,0.0018,2.617,0.086898995,,,,,
Aug/Sept,2019,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.456091724,4.4,,0.0018,2.617,0.086891926,,,,,
July,2014,T1,Diptera,Chironomidae,NA,4.98,2.27,0.398919046,4.4,,0.0018,2.617,0.086882801,,,,,
July,2016,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.45604645,4.4,,0.0018,2.617,0.086878492,,,,,
Aug/Sept,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.456002811,4.4,,0.0018,2.617,0.086865545,,,,,
Aug/Sept,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.455912518,4.4,,0.0018,2.617,0.086838758,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.29266196,4.4,,0.0018,2.617,0.086799758,,,,,
Aug/Sept,2014,T1,Diptera,Chironomidae,NA,4.98,2.27,0.398574632,4.4,,0.0018,2.617,0.086778293,,,,,
Aug/Sept,2018,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.45559787,4.4,,0.0018,2.617,0.086745449,,,,,
Aug/Sept,2008,T1,Diptera,Chironomidae,NA,4.98,2.27,0.39845766,4.4,,0.0018,2.617,0.086742811,,,,,
June,2014,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.252989633,1.96,,0.0163,2.477,0.08671207,,,,,
June,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.455327141,4.39,,0.0018,2.617,0.086665207,,,,,
Aug/Sept,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.455326497,4.39,,0.0018,2.617,0.086665016,,,,,
June,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.455305233,4.39,,0.0018,2.617,0.086658715,,,,,
Aug/Sept,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.455233041,4.39,,0.0018,2.617,0.086637325,,,,,
July,2014,T1,Diptera,Chironomidae,NA,4.98,2.27,0.3978698,4.39,,0.0018,2.617,0.086564587,,,,,
Aug/Sept,2016,Alder,Megaloptera,Sialidae,3.14,8.27,4.75,0.500229211,3.14,,0.0037,2.753,0.086563829,,,,,
July,2010,Alder,Megaloptera,Sialidae,3.14,8.27,4.75,0.565612923,3.14,,0.0037,2.753,0.086563829,,,,,
June,2010,Alder,Megaloptera,Sialidae,3.14,8.27,4.75,0.4599689,3.14,,0.0037,2.753,0.086563829,,,,,
Aug/Sept,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.454892844,4.39,,0.0018,2.617,0.086536567,,,,,
Aug/Sept,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.454778455,4.39,,0.0018,2.617,0.086502702,,,,,
July,2015,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.25242003,1.96,,0.0163,2.477,0.086501394,,,,,
June,2018,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.454709092,4.39,,0.0018,2.617,0.08648217,,,,,
July,2015,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.25235449,1.96,,0.0163,2.477,0.086477156,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.291883742,4.39,,0.0018,2.617,0.086469723,,,,,
Aug/Sept,2019,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.454641821,4.39,,0.0018,2.617,0.08646226,,,,,
June,2021,T1,Diptera,Chironomidae,NA,4.98,2.27,0.397516844,4.39,,0.0018,2.617,0.086457654,,,,,
June,2010,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.454605307,4.39,,0.0018,2.617,0.086451454,,,,,
June,2021,Alder,Diptera,Chironomidae,NA,5.05,2.49,0.394785711,4.39,,0.0018,2.617,0.086451132,,,,,
June,2022,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.454499527,4.39,,0.0018,2.617,0.086420154,,,,,
June,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.454392251,4.39,,0.0018,2.617,0.086388417,,,,,
June,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.454387679,4.39,,0.0018,2.617,0.086387065,,,,,
Aug/Sept,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.454313241,4.39,,0.0018,2.617,0.086365046,,,,,
July,2014,T1,Diptera,Chironomidae,NA,4.98,2.27,0.397130952,4.39,,0.0018,2.617,0.086340808,,,,,
June,2020,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.454228669,4.39,,0.0018,2.617,0.086340034,,,,,
June,2014,T1,Diptera,Chironomidae,NA,4.98,2.27,0.397032297,4.39,,0.0018,2.617,0.086310946,,,,,
June,2020,Dock,Diptera,Chironomidae,NA,5.05,2.49,0.394298435,4.39,,0.0018,2.617,0.086288981,,,,,
July,2017,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.454016436,4.39,,0.0018,2.617,0.086277284,,,,,
Aug/Sept,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.453963454,4.39,,0.0018,2.617,0.086261623,,,,,
July,2017,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.251756936,1.96,,0.0163,2.477,0.086256208,,,,,
July,2016,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.453801637,4.39,,0.0018,2.617,0.086213799,,,,,
June,2020,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.453689641,4.39,,0.0018,2.617,0.086180709,,,,,
July,2014,T1,Diptera,Chironomidae,NA,4.98,2.27,0.396578564,4.39,,0.0018,2.617,0.086173664,,,,,
Aug/Sept,2015,T1,Diptera,Chironomidae,NA,4.98,2.27,0.396301222,4.38,,0.0018,2.617,0.086089797,,,,,
Aug/Sept,2008,T1,Diptera,Chironomidae,NA,4.98,2.27,0.396120064,4.38,,0.0018,2.617,0.086035034,,,,,
June,2022,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.453149577,4.38,,0.0018,2.617,0.086021233,,,,,
July,2012,Dock,Diptera,Chironomidae,NA,4.25,2.04,0.525873063,4.38,,0.0018,2.617,0.086008209,,,,,
Aug/Sept,2023,Spring,Diptera,Chironomidae,NA,5.05,2.49,0.393439178,4.38,,0.0018,2.617,0.086003371,,,,,
June,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.453044082,4.38,,0.0018,2.617,0.0859901,,,,,
June,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.452972347,4.38,,0.0018,2.617,0.085968934,,,,,
July,2016,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.452940349,4.38,,0.0018,2.617,0.085959493,,,,,
Aug/Sept,2021,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.25089454,1.96,,0.0163,2.477,0.08593744,,,,,
Aug/Sept,2018,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.452854746,4.38,,0.0018,2.617,0.085934239,,,,,
Aug/Sept,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.452835744,4.38,,0.0018,2.617,0.085928634,,,,,
July,2016,Alder,Diptera,Chironomidae,NA,5.05,2.49,0.393135935,4.38,,0.0018,2.617,0.085902675,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.290408339,4.38,,0.0018,2.617,0.085845028,,,,,
June,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.452549054,4.38,,0.0018,2.617,0.08584409,,,,,
July,2014,T1,Bivalvia,Pisidium,NA,2.68,1.08,0.250583975,1.96,,0.0163,2.477,0.085822676,,,,,
July,2016,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.452344789,4.38,,0.0018,2.617,0.08578388,,,,,
Aug/Sept,2022,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.452250295,4.38,,0.0018,2.617,0.085756034,,,,,
July,2014,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.451933788,4.38,,0.0018,2.617,0.085662798,,,,,
Aug/Sept,2014,T1,Diptera,Chironomidae,NA,4.98,2.27,0.394803268,4.37,,0.0018,2.617,0.085637417,,,,,
Aug/Sept,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.451815841,4.37,,0.0018,2.617,0.085628068,,,,,
June,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.451698059,4.37,,0.0018,2.617,0.085593393,,,,,
Aug/Sept,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.451695904,4.37,,0.0018,2.617,0.085592759,,,,,
Aug/Sept,2015,T1,Diptera,Chironomidae,NA,4.98,2.27,0.394609982,4.37,,0.0018,2.617,0.085579118,,,,,
June,2021,Alder,Diptera,Chironomidae,NA,5.05,2.49,0.39215868,4.37,,0.0018,2.617,0.08557851,,,,,
Aug/Sept,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.451601292,4.37,,0.0018,2.617,0.085564911,,,,,
July,2017,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.451533626,4.37,,0.0018,2.617,0.085544997,,,,,
June,2020,Dock,Diptera,Chironomidae,NA,4.25,2.04,0.524031177,4.37,,0.0018,2.617,0.085524681,,,,,
Aug/Sept,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.451386041,4.37,,0.0018,2.617,0.085501572,,,,,
July,2016,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.451371291,4.37,,0.0018,2.617,0.085497233,,,,,
Aug/Sept,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.451337912,4.37,,0.0018,2.617,0.085487413,,,,,
Aug/Sept,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.451272975,4.37,,0.0018,2.617,0.085468312,,,,,
June,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.451192683,4.37,,0.0018,2.617,0.085444697,,,,,
Aug/Sept,2016,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.45116504,4.37,,0.0018,2.617,0.085436567,,,,,
July,2019,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.450920419,4.37,,0.0018,2.617,0.085364645,,,,,
June,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.45084068,4.37,,0.0018,2.617,0.085341208,,,,,
Aug/Sept,2016,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.45078943,4.37,,0.0018,2.617,0.085326146,,,,,
June,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.450747119,4.37,,0.0018,2.617,0.085313712,,,,,
Aug/Sept,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.450677028,4.37,,0.0018,2.617,0.085293117,,,,,
July,2016,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.450627038,4.37,,0.0018,2.617,0.085278429,,,,,
Aug/Sept,2022,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.450621625,4.37,,0.0018,2.617,0.085276839,,,,,
Aug/Sept,2008,T1,Ephemeroptera,Caenidae,NA,3.39,1.89,0.359414781,2.71,,0.0054,2.772,0.085258864,,,,,
June,2020,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.450547778,4.37,,0.0018,2.617,0.085255145,,,,,
July,2014,Dock,Diptera,Chironomidae,NA,4.25,2.04,0.522991141,4.37,,0.0018,2.617,0.085252457,,,,,
Aug/Sept,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.450382996,4.37,,0.0018,2.617,0.085206747,,,,,
Aug/Sept,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.450266307,4.37,,0.0018,2.617,0.085172484,,,,,
Aug/Sept,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.450206979,4.37,,0.0018,2.617,0.085155066,,,,,
June,2021,Alder,Diptera,Chironomidae,NA,5.05,2.49,0.39085591,4.37,,0.0018,2.617,0.085147197,,,,,
Aug/Sept,2018,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.450062373,4.36,,0.0018,2.617,0.08511262,,,,,
July,2017,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.449908382,4.36,,0.0018,2.617,0.085067431,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.288553516,4.36,,0.0018,2.617,0.085061554,,,,,
Aug/Sept,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.44976092,4.36,,0.0018,2.617,0.08502417,,,,,
June,2015,T3,Diptera,Chironomidae,NA,5.94,2.82,0.288457758,4.36,,0.0018,2.617,0.085021163,,,,,
July,2015,T1,Diptera,Chironomidae,NA,4.98,2.27,0.392637657,4.36,,0.0018,2.617,0.08498518,,,,,
June,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.449623512,4.36,,0.0018,2.617,0.084983869,,,,,
June,2021,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.449587982,4.36,,0.0018,2.617,0.08497345,,,,,
Aug/Sept,2016,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.449559136,4.36,,0.0018,2.617,0.084964991,,,,,
July,2014,Dock,Diptera,Chironomidae,NA,4.25,2.04,0.521881167,4.36,,0.0018,2.617,0.084962563,,,,,
June,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.449448589,4.36,,0.0018,2.617,0.08493258,,,,,
Aug/Sept,2019,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.449390954,4.36,,0.0018,2.617,0.084915684,,,,,
July,2014,T1,Diptera,Chironomidae,NA,4.98,2.27,0.392387022,4.36,,0.0018,2.617,0.084909829,,,,,
Aug/Sept,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.449307648,4.36,,0.0018,2.617,0.084891266,,,,,
Aug/Sept,2018,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.4492739,4.36,,0.0018,2.617,0.084881375,,,,,
Aug/Sept,2015,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.449253974,4.36,,0.0018,2.617,0.084875535,,,,,
June,2021,T1,Diptera,Chironomidae,NA,4.98,2.27,0.391960892,4.36,,0.0018,2.617,0.08478178,,,,,
July,2016,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.448927517,4.36,,0.0018,2.617,0.084779892,,,,,
July,2017,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.448686962,4.36,,0.0018,2.617,0.084709451,,,,,
Aug/Sept,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.44867888,4.36,,0.0018,2.617,0.084707085,,,,,
Aug/Sept,2023,Alder,Diptera,Chironomidae,NA,4.65,2.28,0.44846149,4.36,,0.0018,2.617,0.084643455,,,,,
